Individuo,Alumno no. Cuenta,Orden de preferencia,Clave,Nombre de la Materia
28,308148479,3,2044,  ANÁLISIS DE ESTADOS FINANCIEROS
28,308148479,2,2046,  AUDITORÍA ACTUARIAL
28,308148479,1,2047,   CONTABILIDAD DE SEGUROS
29,308311547,5,2048,Estadística Bayesiana
29,308311547,4,2039,Modelos y simulación
29,308311547,3,2032,Análisis de Regresión
29,308311547,2,2037,Investigación de Operaciones II
29,308311547,1,2049,Evaluación de Proyectos
30,307689872,5,2048,Estadística Bayesiana    
30,307689872,4,2049,Evaluación de Proyectos   
30,307689872,3,2039, Modelos y simulación
30,307689872,2,2055, Series de tiempo
30,307689872,1,2041, Muestreo
31,,5,2031,Analisis Multivariado
31,,4,2033,Derivados
31,,3,2049,Evaluación de proyectos
31,,2,2046,Auditoria Actuarial
31,,1,2051,Finanzas Internacionales
32,307128535,5,2046,1. Auditoria Actuarial
32,307128535,4,2043,2. Planeacion Financiera
32,307128535,3,2030,3. Analisis de Datos Categóricos
32,307128535,2,2039,4. MODELOS Y SIMULACIÓN
33,30716015-3,5,2037, Investigación de operaciones 2
33,30716015-3,4,2054,Presupuesto de capital
33,30716015-3,3,2033,Derivados
33,30716015-3,2,2055,Series de tiempo
33,30716015-3,1,2043,Planeación financiera
34,411016698,5,2032,Análisis de Regresión.
34,411016698,4,"2048,00",Estadística Bayesiana.
34,411016698,3,2041,Muestreo.
34,411016698,2,2034,Economía Matemática II.
34,411016698,1,2037,Investigación de Operaciones II.
35,30627339-5,5,2041,Muestreo
35,30627339-5,4,2030,Análisis de datos categóricos
35,30627339-5,3,2048,Estadística Bayesiana
35,30627339-5,2,2031,Análisis multivariado
35,30627339-5,1,2033,Derivados
36,308119408,5,2048,Estadística Bayesiana
36,308119408,4,2041,Muestreo.
36,308119408,3,2032,Análisis de Regresión.
36,308119408,2,2037,Investigación de Operciones II
36,308119408,1,2033,Derivados.
37,30704797-7,5,2039, Modelos y Simulación
37,30704797-7,4,2043,Planeación Financiera
37,30704797-7,3,2033,Derivados
37,30704797-7,2,2035,Finanzas Públicas
38,,5,2033, DERIVADOS
38,307689872,4,2049,EVALUACIÓN DE PROYECTOS
38,,3,2041,MUESTREO
38,,2,2031,ANÁLISIS MULTIVARIADO
38,,1,2046,AUDITORIA ACTUARIAL
39,,5,2048,Estadística Bayesiana    
39,,4,2032,Evaluación de Proyectos   
39,,3,2039, Modelos y simulación
39,,2,2040, Series de tiempo
39,,1,2041, Muestreo
40,,5,2046,Auditoria actuarial
40,,4,2033,Derivados
40,,3,2049,Evaluacion de proyectos
40,,2,2043,Planeacion financiera
40,,1,2037,IDO 2
41,308164707,5,2039,Modelos y simulación
41,308164708,4,2044,Analisis de estados financieros
41,308164709,3,2041,Muestreo
41,308164710,2,2046,Auditoria actuarial
41,308164711,1,2033,Derivados
42,411019510,5,2049, Evaluación de proyectos
42,411019510,4,2040,Matemáticas actuariales aplicadas
42,411019510,3,2039,Modelos y simulación
42,411019510,2,2046,Auditoría actuarial
42,411019510,1,2043,Planeación financiera
43,307105899,5,"2031,00",Análisis multivariado
43,307105899,4,2039,Modelos y simulación
43,307105899,3,2046,Auditoria Actuarial
43,307105899,2,2034,Economía Matemática
43,307105899,1,2033,Derivados
44,41108172-8,5,2049, Evaluación de proyectos
44,41108172-8,4,2040, Matemáticas actuariales aplicadas
44,41108172-8,3,2039, Modelos y simulación
44,41108172-8,2,2046, Auditoría actuarial
44,41108172-8,1,2043, Planeación financiera
45,307124025,5,2032,Análisis de regresión
45,307124025,4,2042,Modelos microeconómicos
45,307124025,3,2037,Investigación de operaciones 2
46,308170719,5,2046, Auditoria Actuarial
46,308170719,4,2033, Derivados
46,308170719,3,2049,Evaluación de Proyectos
46,308170719,2,2035,Finanzas publicas
46,308170719,1,2038,Legislacion de Seguros
47,30769936-3,5,2039, Modelos y simulación
47,30769936-3,4,2041,Muestreo
47,30769936-3,3,2040,Evaluación de Proyectos
47,30769936-3,2,2048, Estadística Bayesiana
47,30769936-3,1,2037,Investigación de Operaciones II
48,30706520-9,5,2032,Análisis de Regresión
48,30706520-9,4,2039,Modelos y Simulación
48,30706520-9,3,2048,Estadística Bayesiana
48,30706520-9,2,2041,Muestro
48,30706520-9,1,2030,Análisis de Datos Categóricos
49,308630303,5,2048,Estadística Bayesiana
49,308630303,4,2039,Modelos y Simulación
49,308630303,3,2055,Series de Tiempo
49,308630303,2,2033,Derivados
49,308630303,1,2032,Análisis de Regresión
50,308190320,5,2046,Auditoría Actuarial
50,308190320,4,2035,Finanzas públicas
50,308190320,3,2051,Finanzas internacionales
50,308190320,2,2033,Derivados
50,308190320,1,2034,Economía matemática II
51,308214503,5,2039, Modelos y Simulación
51,308214503,4,2032, Análisis de Regresión
51,308214503,3,2048,Estadística Bayesiana
51,308214503,2,2055,Series de Tiempo
51,308214503,1,2041,Muestreo
52,411014814,5,2048, Estadística Bayesiana
52,411014814,4,2055,Series de tiempo 
52,411014814,3,2031,Análisis multivariado 
52,411014814,2,2039,Modelos y Simulación
52,411014814,1,2053,Procesos estocásticos II 
53,,5,2033,DERIVADOS
53,,4,2043,PLANEACIÓN FINANCIERA
53,,3,2030, ANÁLISIS DE DATOS CATEGÓRICOS
53,,2,2039,MODELOS Y SIMULACIÓN
54,308613755,5,2033, Derivados
54,308613755,4,2049,Evaluación de proyectos
54,308613755,3,2039,Modelos y Simulación
54,308613755,2,2048,Estadística Bayesiana
54,308613755,1,2041,Muestreo
55,308321227,5,2037,                    Investigación de Operaciones II
